"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1854,TRUE,FALSE,"Alaid","Russia",2339,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",50.858,155.55
1863,TRUE,TRUE,"Yasur","Vanuatu",361,"Stratovolcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-19.52,169.425
1872,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",4,30,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",50,"Few (~1 to 50)",-7.542,110.442
1884,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
1888,TRUE,FALSE,"Ritter Island","Papua New Guinea",140,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.52,148.121
1888,FALSE,FALSE,"Bandai","Japan",1819,"Stratovolcano",4,461,"Many (~101 to 1000)",70,"Some (~51 to 100)",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",37.6,140.08
1913,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1916,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-1.467,-78.442
1920,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,33,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1946,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1948,FALSE,FALSE,"Iliwerung","Indonesia",1018,"Complex volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",-8.54,123.59
1950,FALSE,FALSE,"Camiguin","Philippines",1332,"Stratovolcano",3,68,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",9.203,124.673
1950,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"Few (~1 to 50)",36.4,138.53
1951,TRUE,TRUE,"Cosiguina","Nicaragua",872,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.98,-87.57
1956,TRUE,FALSE,"Bezymianny","Russia",2882,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",55.978,160.587
1958,TRUE,FALSE,"Kuwae","Vanuatu",-2,"Caldera",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.829,168.536
1967,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1974,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",3,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1979,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",1,149,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1984,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1988,FALSE,FALSE,"Banda Api","Pacific Ocean",640,"Caldera",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.525,129.871
1993,FALSE,FALSE,"Krakatau","Indonesia",813,"Caldera",1,1,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
1996,TRUE,FALSE,"Karymsky","Russia",1536,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",54.05,159.43
1997,TRUE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
2006,FALSE,FALSE,"Bulusan","Philippines",1565,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.77,124.05
2007,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,4,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-4.1,145.061
2007,FALSE,FALSE,"Tair, Jebel at","Yemen",244,"Stratovolcano",NA,7,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",15.7,41.742
2011,FALSE,FALSE,"Kirishima","Japan",1700,"Shield volcano",NA,NA,"None/No Record",NA,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"None/No Record",31.93,130.87
2012,FALSE,FALSE,"Tolbachik","Russia",3682,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",55.83,160.33
2018,TRUE,TRUE,"Kilauea","United States",1222,"Shield volcano",1,NA,"None/No Record",1,"Few (~1 to 50)",370,"EXTREME (~>=$25 million)",716,"Many (~101 to 1000)",19.425,-155.292
2020,TRUE,TRUE,"Ijen","Indonesia",2799,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.058,114.242
-3550,FALSE,FALSE,"Pinatubo","Philippines",1486,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",15.13,120.35
1050,TRUE,FALSE,"Santorini","Greece",329,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.404,25.396
1177,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1595,FALSE,FALSE,"Ruiz","Colombia",5321,"Stratovolcano",4,636,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",4.895,-75.322
1598,FALSE,FALSE,"Banda Api","Pacific Ocean",640,"Caldera",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.525,129.871
1638,FALSE,FALSE,"Raung","Indonesia",3332,"Stratovolcano",4,1001,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.125,114.042
1659,FALSE,TRUE,"San Salvador","El Salvador",1893,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.736,-89.286
1684,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64.42,-17.33
1693,TRUE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.98,-19.7
1694,FALSE,FALSE,"Banda Api","Pacific Ocean",640,"Caldera",3,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.525,129.871
1794,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",3,400,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",40.821,14.426
1800,FALSE,FALSE,"San Jorge","Portugal",1053,"Fissure vent",1,9,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.65,-28.08
1816,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1817,FALSE,FALSE,"Ijen","Indonesia",2799,"Stratovolcano",2,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",90,"Some (~51 to 100)",-8.058,114.242
1825,FALSE,FALSE,"Balbi","Papua New Guinea",2715,"Stratovolcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.83,154.98
1846,FALSE,FALSE,"E-san","Japan",618,"Stratovolcano",1,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",41.8,141.17
1875,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",NA,1500,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1889,TRUE,TRUE,"Banua Wuhu","Indonesia",-5,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",3.138,125.491
1912,FALSE,FALSE,"Novarupta","United States",841,"Caldera",6,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",58.27,-155.16
1953,FALSE,FALSE,"Hakone","Japan",1438,"Complex volcano",NA,10,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.22,139.02
1961,FALSE,FALSE,"Daisetsu","Japan",2290,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",43.68,142.88
1964,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",1,114,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1965,TRUE,FALSE,"Kick-'em-Jenny","Netherlands",-177,"Submarine volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.3,-61.63
1971,TRUE,FALSE,"Tinakula","Solomon Is.",851,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-10.38,165.8
1976,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,119,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1976,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",24,"Few (~1 to 50)",2.78,125.48
1978,FALSE,FALSE,"Santa Maria","Guatemala",3772,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.756,-91.552
1983,FALSE,FALSE,"Kliuchevskoi","Russia",4835,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.057,160.638
1986,FALSE,FALSE,"Oshima","Japan",758,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",34.73,139.38
1992,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",2.78,125.48
2002,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",2.78,125.48
2013,FALSE,FALSE,"Paluweh","Indonesia",875,"Stratovolcano",3,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.32,121.708
2013,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",3.17,98.392
2017,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Some (~51 to 100)",3.17,98.392
2018,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",1,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
2019,FALSE,FALSE,"Ulawun","Papua New Guinea",2334,"Stratovolcano",NA,NA,"None/No Record",2,"Few (~1 to 50)",14,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-5.05,151.33
-3580,FALSE,FALSE,"Taal","Philippines",400,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.002,120.993
-2040,FALSE,FALSE,"Long Island","Papua New Guinea",1280,"Complex volcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.358,147.12
653,FALSE,FALSE,"Dakataua","Papua New Guinea",400,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.056,150.108
683,FALSE,FALSE,"Rabaul","Papua New Guinea",688,"Pyroclastic shield",6,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-4.271,152.203
950,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1580,FALSE,FALSE,"San Jorge","Portugal",1053,"Fissure vent",3,10,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.65,-28.08
1581,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",14.473,-90.88
1608,TRUE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",0.8,127.325
1625,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",5,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.63,-19.05
1660,FALSE,FALSE,"Teon","Pacific Ocean",655,"Stratovolcano",4,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.92,129.125
1773,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1779,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1801,FALSE,FALSE,"Chokai","Japan",2237,"Stratovolcano",2,8,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",39.08,140.03
1804,FALSE,FALSE,"Shikotsu","Japan",1320,"Caldera",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.7,141.33
1820,TRUE,TRUE,"Westdahl","United States",1654,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",54.52,-164.65
1845,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1867,FALSE,FALSE,"Zao","Japan",1841,"Complex volcano",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.15,140.45
1870,FALSE,FALSE,"Aoba","Vanuatu",1496,"Shield volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-15.4,167.83
1910,FALSE,FALSE,"Taupo","New Zealand",760,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.82,176
1952,FALSE,FALSE,"Hakone","Japan",1438,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.22,139.02
1953,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1963,FALSE,FALSE,"Irazu","Costa Rica",3432,"Stratovolcano",3,15,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",9.979,-83.852
1974,TRUE,FALSE,"Ritter Island","Papua New Guinea",140,"Stratovolcano",1,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.52,148.121
1986,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1987,FALSE,FALSE,"Pacaya","Guatemala",2552,"Complex volcano",3,NA,"None/No Record",15,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",63,"Some (~51 to 100)",14.381,-90.601
1990,FALSE,FALSE,"Rabaul","Papua New Guinea",688,"Pyroclastic shield",NA,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.271,152.203
1993,FALSE,FALSE,"Pinatubo","Philippines",1486,"Stratovolcano",NA,14,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",15.13,120.35
2000,TRUE,TRUE,"Miyake-jima","Japan",815,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",34.08,139.53
2006,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",1,1266,"Very Many (~1001 or more)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",13.257,123.685
2009,FALSE,FALSE,"Redoubt","United States",3108,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",60.48,-152.75
2016,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,7,"Few (~1 to 50)",3,"Few (~1 to 50)",100,"EXTREME (~>=$25 million)",NA,"None/No Record",3.17,98.392
2018,FALSE,FALSE,"Kusatsu-Shirane","Japan",2176,"Stratovolcano",NA,1,"Few (~1 to 50)",11,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"None/No Record",36.62,138.55
2019,FALSE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",38.789,15.213
-197,TRUE,TRUE,"Santorini","Greece",329,"Shield volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.404,25.396
60,FALSE,FALSE,"Bona-Churchill","United States",5005,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",61.38,-141.75
1631,TRUE,TRUE,"Vesuvius","Italy",1281,"Complex volcano",5,4000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"EXTREME (~>=$25 million)",NA,"Very Many (~1001 or more)",40.821,14.426
1682,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1757,FALSE,TRUE,"San Jorge","Portugal",1053,"Fissure vent",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.65,-28.08
1812,FALSE,FALSE,"Soufriere St. Vincent","St. Vincent & the Grenadines",1220,"Stratovolcano",4,56,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.33,-61.18
1827,FALSE,FALSE,"Avachinsky","Russia",2741,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",53.255,158.83
1846,FALSE,FALSE,"Tangkubanparahu","Indonesia",2084,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.77,107.6
1856,FALSE,FALSE,"Komaga-take","Japan",1140,"Stratovolcano",4,20,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Many (~101 to 1000)",42.07,140.68
1883,TRUE,FALSE,"Augustine","United States",1252,"Lava dome",4,8,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",59.37,-153.42
1914,TRUE,TRUE,"Sakura-jima","Japan",1117,"Stratovolcano",4,28,"Few (~1 to 50)",NA,"Many (~101 to 1000)",0.04,"LIMITED (~<$1 million)",2148,"Very Many (~1001 or more)",31.58,130.67
1919,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",3,4,"Few (~1 to 50)",NA,"Many (~101 to 1000)",NA,"LIMITED (~<$1 million)",10,"Few (~1 to 50)",38.789,15.213
1927,FALSE,FALSE,"Esjufjoll","Iceland",1760,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64.27,-16.65
1944,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,27,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1949,FALSE,FALSE,"Camiguin","Philippines",1332,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",9.203,124.673
1953,TRUE,FALSE,"Myojun Knoll","Japan",360,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.1,139.85
1968,FALSE,FALSE,"Arenal","Costa Rica",1657,"Stratovolcano",3,80,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",10.463,-84.703
1972,FALSE,FALSE,"Hakone","Japan",1438,"Complex volcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.22,139.02
1981,FALSE,FALSE,"Alaid","Russia",2339,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",50.858,155.55
1990,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",NA,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1997,FALSE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
2002,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
2006,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",3,5,"Few (~1 to 50)",13,"Few (~1 to 50)",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-1.467,-78.442
1334,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1564,FALSE,FALSE,"Gamkonora","Indonesia",1635,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.375,127.52
1711,FALSE,FALSE,"Awu","Indonesia",1320,"Stratovolcano",3,3000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",3.67,125.5
1873,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",NA,9,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1877,FALSE,FALSE,"Cotopaxi","Ecuador",5911,"Stratovolcano",4,340,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.677,-78.436
1892,TRUE,FALSE,"Awu","Indonesia",1320,"Stratovolcano",3,1532,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",3.67,125.5
1895,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1895,FALSE,FALSE,"Karkar","Papua New Guinea",1839,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.649,145.964
1902,TRUE,FALSE,"Pelee","Martinique",1397,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.82,-61.17
1904,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-11.75,43.38
1906,TRUE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",3,350,"Many (~101 to 1000)",300,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1928,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",1,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1929,FALSE,FALSE,"Calbuco","Chile",2003,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-41.326,-72.614
1930,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,1369,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",1109,"Very Many (~1001 or more)",-7.542,110.442
1933,TRUE,FALSE,"Kharimkotan","Russia",1145,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",49.12,154.508
1933,FALSE,FALSE,"Kuchinoerabu-jima","Japan",649,"Stratovolcano",4,8,"Few (~1 to 50)",26,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",30.43,130.22
1950,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",1,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1972,FALSE,FALSE,"Fournaise, Piton de la","Reunion",2631,"Shield volcano",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-21.229,55.713
1978,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",3,3,"Few (~1 to 50)",2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1979,TRUE,FALSE,"Iliwerung","Indonesia",1018,"Complex volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.54,123.59
1996,FALSE,FALSE,"Maderas","Nicaragua",1394,"Stratovolcano",NA,6,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",11.446,-85.515
2002,FALSE,FALSE,"Reventador","Ecuador",3562,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",-0.078,-77.656
2011,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-1.467,-78.442
